DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/23/24,07:24:02,TRD,5054659490,BOT +300 GDC @7.09,,,-2127,102137.75
8/23/24,07:24:39,TRD,5054662758,SOLD -300 GDC @7.46,-0.04,,2238,104375.71
8/23/24,07:42:30,TRD,5054702651,BOT +100 OPEN @2.23,,,-223,104152.71
8/23/24,07:44:41,TRD,5054705351,SOLD -100 OPEN @2.18,-0.01,,218,104370.7
8/26/24,06:31:50,TRD,5055214471,"BOT +1,000 MIRA @2.70",,,-2700,101670.7
8/26/24,06:31:57,TRD,5055214471,"SOLD -1,000 MIRA @2.66",-0.04,,2660,104330.66
8/26/24,06:32:22,TRD,5055215595,"BOT +1,000 MIRA @2.67",,,-2670,101660.66
8/26/24,06:32:23,TRD,5055215595,"SOLD -1,000 MIRA @2.66",-0.04,,2660,104320.62
8/26/24,06:33:23,TRD,5055218356,"BOT +1,000 MIRA @2.42",,,-2420,101900.62
8/26/24,06:33:30,TRD,5055218356,"SOLD -1,000 MIRA @2.43",-0.04,,2430,104330.58
8/26/24,06:34:21,TRD,5055221275,"BOT +3,000 MIRA @2.40",,,-7200,97130.58
8/26/24,06:34:27,TRD,5055221275,"SOLD -3,000 MIRA @2.38",-0.12,,7140,104270.46
8/26/24,06:39:40,TRD,5055235165,"BOT +3,000 RR @1.91",,,-5730,98540.46
8/26/24,06:52:24,TRD,5055275285,"SOLD -3,000 RR @1.75",-0.09,,5250,103790.37
8/26/24,06:57:08,TRD,5055289614,"BOT +3,000 ASST @1.79",,,-5370,98420.37
8/26/24,06:57:59,TRD,5055289614,"SOLD -3,000 ASST @1.71",-0.09,,5130,103550.28
8/26/24,07:01:26,TRD,5055300406,"BOT +3,000 UBXG @2.67",,,-8010,95540.28
8/26/24,07:08:36,TRD,5055300406,"SOLD -3,000 UBXG @2.41",-0.12,,7230,102770.16
8/27/24,09:50:23,TRD,5056208173,"BOT +1,000 LFCR @4.97",,,-4970,97800.16
8/27/24,09:59:02,TRD,5056212277,"SOLD -1,000 LFCR @5.08",-0.09,,5080,102880.07
8/27/24,09:59:37,TRD,5056216056,"BOT +1,000 UBXG @1.94",,,-1940,100940.07
8/27/24,10:02:05,TRD,5056217969,"BOT +1,000 UBXG @1.93",,,-1930,99010.07
8/27/24,10:06:51,TRD,5056222026,"SOLD -1,000 UBXG @1.93",-0.03,,1930,100940.04
8/27/24,10:13:53,TRD,5056225694,"SOLD -1,000 UBXG @1.93",-0.03,,1930,102870.01
8/27/24,12:40:06,TRD,5056353310,"BOT +1,000 TSNDF @1.22",,,-1220,101650.01
8/27/24,12:50:15,TRD,5056360999,"SOLD -1,000 TSNDF @1.22",-0.02,,1220,102869.99
8/27/24,12:54:43,TRD,5056368624,"BOT +1,000 IVP @2.12",,,-2120,100749.99
8/27/24,12:57:45,TRD,5056368671,"SOLD -1,000 IVP @2.15",-0.04,,2150,102899.95
8/28/24,09:05:04,TRD,5056805345,BOT +1 VERTICAL SPX 100 (Weeklys) 28 AUG 24 5600/5595 PUT @2.60,-1.06,-1.3,-260,102637.59
8/28/24,09:13:03,TRD,5056814707,SOLD -1 VERTICAL SPX 100 (Weeklys) 28 AUG 24 5600/5595 PUT @3.20,-1.06,-1.3,320,102955.23
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,asdfasdf,,,,,,
